terminal	year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
Haifa--Legacy	2023	11	2023-11-01	37.43780453223808	3.622681010259628	0.06	central	1068231.640961398	2389.492214663643	447.05382775719465	6.102679007402124	28
Haifa--Legacy	2023	12	2023-12-01	37.43780453223808	3.622681010259628	0.06	central	1062771.4107122456	2389.492214663643	444.7687270920222	6.097554432667951	29
Haifa--Legacy	2024	1	2024-01-01	44.60339760976034	3.79781003571554	0.06	central	1043651.6243343068	2406.315894308943	433.7134732819556	6.0723841162613805	30
Haifa--Legacy	2024	2	2024-02-01	44.60339760976034	3.79781003571554	0.06	central	1025091.1696220275	2406.315894308943	426.0002487813089	6.054439930262883	31
Haifa--Legacy	2024	3	2024-03-01	44.60339760976034	3.79781003571554	0.06	central	1008124.2642767474	2406.315894308943	418.94926042794776	6.037749815758651	32
Haifa--Legacy	2024	4	2024-04-01	42.89105004796993	3.758663180578598	0.06	central	990597.5200211392	2087.916666666667	474.4430349332935	6.162141558015444	33
Haifa--Legacy	2024	5	2024-05-01	42.89105004796993	3.758663180578598	0.06	central	974074.4055460988	2087.916666666667	466.5293500919251	6.145320933832255	34
Haifa--Legacy	2024	6	2024-06-01	42.89105004796993	3.758663180578598	0.06	central	957535.3852430052	2087.916666666667	458.6080472127743	6.12819591761563	35
Haifa--Legacy	2024	7	2024-07-01	36.30157228060922	3.5918610538482074	0.06	central	1063321.009969331	2266.458008130081	469.1553984918581	6.150934053633209	36
Haifa--Legacy	2024	8	2024-08-01	36.30157228060922	3.5918610538482074	0.06	central	1047342.668249198	2266.458008130081	462.105481104103	6.135793179100191	37
